gene,C1,C1_logFC,C1_FDR,C2,C2_logFC,C2_FDR,C3,C3_logFC,C3_FDR,module
ALOX5AP,UP,1.39911617866907,0.012781107898664,NS,-0.880409383839468,0.462418893927704,NS,0.6402705982248,0.380237056688822,C1 SPECIFIC
ALS2CL,DOWN,-1.12496673627909,0.0008708590333813,NS,0.534452968344437,0.389874017977527,NS,-0.580834739759221,0.131626214317232,DOWN IN LIMBUS
AMOTL1,UP,1.21934355483499,0.0002079530905503,NS,0.484775866945364,0.383499251290392,NS,0.249468466812196,0.478962563485072,C1 SPECIFIC
AMOTL2,UP,1.05300655985476,0.000315531263636,NS,0.767091253925626,0.11975238709691,NS,0.813136956625641,0.0184347245567557,C1 SPECIFIC
AMPD3,DOWN,-1.86226140590706,6.02564105199604e-05,NS,0.274983054835337,0.744812761211335,NS,0.544839718452447,0.225159660358638,DOWN IN LIMBUS
ANG,UP,1.72337919517966,3.58541252932977e-05,NS,0.170595575094347,0.834127577135487,NS,0.90905015529912,0.0326227899736197,C1 SPECIFIC
ANGPT1,UP,3.14120290651092,2.81116261187229e-05,UP,2.71259211351775,0.0148135903070428,UP,3.18424352813303,0.0006643055622662,CORE — all 3 contrasts
ANGPT2,UP,1.74925161917396,0.001409631030316,NS,-0.209723910028663,0.881368915059906,NS,0.905429587313246,0.157424706433074,C1 SPECIFIC
ANGPTL1,UP,1.51390332001472,0.0001429143858075,NS,0.0857430026214949,0.927717989883192,NS,0.985813306188418,0.0259630008429152,C1 SPECIFIC
ANGPTL2,UP,1.09174398966715,0.0146930355775813,NS,0.746443018369714,0.430730753965887,UP,1.97142291432028,0.0040649203157536,SHARED C1 & C3
ANGPTL7,NS,0.523857861813763,0.470552593704109,NS,2.00518034188416,0.196155967319918,UP,2.83572449622628,0.0109006558638924,C3 SPECIFIC
ANK2,UP,3.23980465812005,9.79064582045494e-05,NS,0.0657672951372215,0.976900004734621,UP,2.67459225488494,0.005745436323019,SHARED C1 & C3
ANKEF1,DOWN,-1.13876749912056,0.0004283446270102,NS,-0.338131410705667,0.569642644538003,NS,-0.702768214522279,0.0552878945203342,DOWN IN LIMBUS
ANKRD18A,DOWN,-1.81285943748328,6.87148859320536e-07,NS,-0.203795571636069,0.67125502558339,NS,-0.255921124254892,0.35090649738083,DOWN IN LIMBUS
ANKRD20A1,DOWN,-2.1714547138428,7.23580173885849e-06,NS,0.0796307950156638,0.937084427404238,NS,0.450222898779292,0.281681704786762,DOWN IN LIMBUS
ANKRD20A11P,DOWN,-1.48369420729681,0.000751672494967,NS,0.0848156110984224,0.944757353575755,NS,-0.72708745009794,0.144500972770782,DOWN IN LIMBUS
ANKRD20A12P,DOWN,-1.85661657936816,0.0005763769678863,NS,-0.0105870713425031,0.995254937911569,NS,0.643290440943918,0.280395476697328,DOWN IN LIMBUS
ANKRD20A2P,DOWN,-2.1714547138428,7.23580173885849e-06,NS,0.0796307950156638,0.937084427404238,NS,0.450222898779292,0.281681704786762,DOWN IN LIMBUS
ANKRD20A3P,DOWN,-2.1714547138428,7.23580173885849e-06,NS,0.0796307950156638,0.937084427404238,NS,0.450222898779292,0.281681704786762,DOWN IN LIMBUS
ANKRD20A4P,DOWN,-2.1714547138428,7.23580173885849e-06,NS,0.0796307950156638,0.937084427404238,NS,0.450222898779292,0.281681704786762,DOWN IN LIMBUS
ANKRD20A5P,DOWN,-2.1714547138428,7.23580173885849e-06,NS,0.0796307950156638,0.937084427404238,NS,0.450222898779292,0.281681704786762,DOWN IN LIMBUS
ANKRD20A8P,DOWN,-2.01826709423478,0.0007837476266584,NS,-0.0107837841050693,0.995500376717069,NS,0.918860396695859,0.174343872484033,DOWN IN LIMBUS
ANKRD20A9P,DOWN,-2.1714547138428,7.23580173885849e-06,NS,0.0796307950156638,0.937084427404238,NS,0.450222898779292,0.281681704786762,DOWN IN LIMBUS
ANKRD28,UP,1.21543512946464,0.0029510736931715,NS,0.268081807160804,0.778648884522612,UP,1.48860701944041,0.0083447285926693,SHARED C1 & C3
ANKRD29,UP,2.57856656596507,2.2192201492737e-06,NS,0.696130540395906,0.320294932924576,NS,0.873483403059555,0.0553063300742574,C1 SPECIFIC
ANKRD34C,DOWN,-1.5841443657572,0.0004184884439785,NS,-0.0929158712988043,0.936920108289731,NS,-0.649893974158533,0.181987350205906,DOWN IN LIMBUS
ANKRD35,UP,1.54661673385665,0.0025433702236006,NS,-0.192471096591488,0.888483801536949,NS,1.2020643362359,0.0590862119278763,C1 SPECIFIC
ANKRD44,UP,1.28935386050521,0.0009264795582425,NS,0.290901567886419,0.720783197770296,UP,1.13400159007539,0.0198830900810203,SHARED C1 & C3
ANKRD46,DOWN,-1.17275587010739,6.20420894593353e-05,NS,0.555489575860351,0.219404002071306,NS,0.0705041916447904,0.834261599317399,DOWN IN LIMBUS
ANKRD50,UP,1.57877795203615,0.0002377118291505,NS,-0.0219579532109426,0.98757233900375,NS,-0.506673631862591,0.259347667430179,C1 SPECIFIC
ANKRD6,UP,1.03191804339894,0.0004352547426229,NS,-0.0768530629631163,0.917804428879256,NS,0.528197060161295,0.104033648210984,C1 SPECIFIC
ANKS1B,UP,1.18115909026342,0.0012839911880195,NS,0.0695116287931539,0.947393838073552,NS,0.819473028497336,0.0616344424281635,C1 SPECIFIC
ANO1,UP,1.02645874987494,0.0449532926533194,NS,-1.73358457222345,0.109006454164429,NS,-0.879947659839733,0.199303165535114,C1 SPECIFIC
