"gene","logFC","direction","degree","degree_norm","betweenness","closeness","eigenvector","clustering_coeff","module","module_sz","MCC","degree_n","betweenness_n","closeness_n","eigenvector_n","MCC_n","hub_score","hub_rank","is_hub"
"CYBB",1.7685596850016,"Up",13,0.0150987224157956,0.0113706331709692,0.295876288659794,0.123354999388112,0.217948717948718,3,63,169,0.134831460674157,0.062631453535091,0.745625862086582,0.123354992191659,0.020743301642178,0.217437414025933,92,FALSE
"CD68",1.04209580290105,"Up",15,0.0174216027874564,0.00577376761979394,0.283503457359236,0.166647241347361,0.419047619047619,1,120,225,0.157303370786517,0.0318029306692263,0.694477591045099,0.166647234506297,0.0276577355229041,0.215577772506009,93,FALSE
"FCER1G",2.44529584496871,"Up",17,0.0197444831591173,0.00502682027518111,0.287767379679144,0.119403131867747,0.316176470588235,11,52,289,0.179775280898876,0.0276886129171841,0.712104296624497,0.119403124638853,0.0355599456723052,0.214906252150343,94,FALSE
"COL14A1",3.51123269938883,"Up",16,0.0185830429732869,0.0025236353928095,0.269146608315098,0.214425556737587,0.5,2,91,256,0.168539325842697,0.0139006289682976,0.635127553178009,0.21442555028874,0.0314853685640202,0.212695685368353,95,FALSE
"FOXO3",1.16743587368386,"Up",15,0.0174216027874564,0.0233878876021723,0.283503457359236,0.042141941023162,0.104761904761905,5,75,225,0.157303370786517,0.128824611049741,0.694477591045099,0.0421419331600235,0.0276577355229041,0.210081048312857,96,FALSE
"IGFBP3",3.5104433293805,"Up",11,0.0127758420441347,0.00138225475338981,0.290192113245703,0.180562567929429,0.472727272727273,10,50,121,0.112359550561798,0.00761370304176418,0.722127946559829,0.180562561202597,0.0148166440301272,0.207496081079223,97,FALSE
"NTRK2",-1.37395418601009,"Down",15,0.0174216027874564,0.00518082025765369,0.279908972691808,0.138259517032437,0.19047619047619,10,50,225,0.157303370786517,0.0285368719896218,0.679618285882197,0.138259509958335,0.0276577355229041,0.206275154827915,98,FALSE
"MRC1",3.77463583594784,"Up",15,0.0174216027874564,0.00167337394429565,0.281372549019608,0.148562038674314,0.352380952380952,1,120,225,0.157303370786517,0.00921723890509186,0.685668590528382,0.148562031684787,0.0276577355229041,0.205681793485536,99,FALSE
"COMP",1.6253093348221,"Up",12,0.0139372822299652,0.00727574925654455,0.281280627245998,0.148601956686658,0.257575757575758,2,91,144,0.123595505617978,0.0400761105069932,0.685288593446308,0.148601949697458,0.0176565008025682,0.203043732014261,100,FALSE
"AIF1",1.74242178705409,"Up",14,0.016260162601626,0.00454512787282276,0.279818004549886,0.139641947080452,0.417582417582418,1,120,196,0.146067415730337,0.0250353661838764,0.679242231035404,0.139641940017699,0.0240770465489567,0.202812799903255,101,FALSE
"NRP1",1.72531641627884,"Up",17,0.0197444831591173,0.0097260141187637,0.267890479153703,0.114012242012841,0.183823529411765,10,50,289,0.179775280898876,0.0535726016486262,0.629934818124126,0.114012234739692,0.0355599456723052,0.202570976216725,102,FALSE
"MUC1",2.28103265852867,"Up",14,0.016260162601626,0.0167285099076834,0.275784753363229,0.0838248408829725,0.131868131868132,14,77,196,0.146067415730337,0.0921435838480291,0.662569101024794,0.0838248333620126,0.0240770465489567,0.201736396102826,103,FALSE
"ACTA2",2.74833466804834,"Up",15,0.0174216027874564,0.0144824081940663,0.265004616805171,0.124832262420799,0.371428571428571,6,36,225,0.157303370786517,0.0797716593477593,0.618004899578768,0.124832255236473,0.0276577355229041,0.201513984094484,104,FALSE
"CADM1",-1.57940811400223,"Down",10,0.0116144018583043,0.0248002190084573,0.28,0.0766413009157479,0.111111111111111,7,128,100,0.101123595505618,0.136603981601834,0.679994585317508,0.0766412933358177,0.0122237313248549,0.201317437417127,105,FALSE
"FBLN2",1.24413362789642,"Up",15,0.0174216027874564,0.00202427770677903,0.269399249061327,0.169750952451601,0.428571428571429,2,91,225,0.157303370786517,0.0111500787359799,0.636171949327145,0.169750945636016,0.0276577355229041,0.200406816001712,106,FALSE
"FCGR2A",1.37880356738353,"Up",13,0.0150987224157956,0.0063070903334659,0.283037475345168,0.111672936865109,0.256410256410256,1,120,169,0.134831460674157,0.03474056626597,0.692551259571157,0.111672929572756,0.020743301642178,0.198907903545244,107,FALSE
"CLU",-2.50988787857669,"Down",14,0.016260162601626,0.0137575439894856,0.280913539967374,0.0646581678610428,0.0989010989010989,1,120,196,0.146067415730337,0.0757789794269647,0.683771084707454,0.064658160182742,0.0240770465489567,0.198870537319291,108,FALSE
"GPX2",-1.33420596982037,"Down",11,0.0127758420441347,0.0209190169587787,0.283410138248848,0.0572660555287843,0.272727272727273,3,63,121,0.112359550561798,0.115225635982931,0.69409181748725,0.057266047789801,0.0148166440301272,0.198751939170381,109.5,FALSE
