contrast,direction,source,term_id,term,gene_ratio,bg_ratio,pvalue,padj,qvalue,count,genes
C1,Up,KEGG,hsa04310,Wnt signaling pathway,29/738,174/8021,0.001127440243980438,0.009375555713100484,0.006933289035004355,29,PRKACB/CCND2/WNT2B/CAMK2D/FZD7/RAC2/FZD4/RSPO3/AXIN2/SERPINF1/DKK1/ROR1/DKK2/ANKRD6/PRICKLE2/TBL1X/CCDC88C/PRICKLE1/SOX17/FZD1/NFATC1/DAAM2/APCDD1/FRZB/NFATC4/PRKCA/WIF1/SFRP2/WNT5A
C1,Up,KEGG,hsa05165,Human papillomavirus infection,47/738,327/8021,0.0012490191119222745,0.010120257419677916,0.007484001156457353,47,LAMA4/PRKACB/COL4A1/LAMA2/COL4A2/CCND2/COL1A1/WNT2B/TNC/PDGFRB/STAT2/AKT3/TNXB/THBS2/PIK3R3/FZD7/FZD4/COL6A1/ITGA8/ITGA1/COL6A3/NOTCH2/AXIN2/COL1A2/ITGA4/MX2/CREB5/PIK3R1/HEY2/FN1/ITGA10/ITGA7/COL6A2/THBS4/LAMC1/MX1/PTGER4/LAMC3/FZD1/TNN/ITGA9/VWF/HEY1/ITGA5/THBS1/COMP/WNT5A
C1,Up,KEGG,hsa04913,Ovarian steroidogenesis,12/738,50/8021,0.0015378742486928572,0.012149206564673573,0.008984423242363534,12,PRKACB/ADCY3/ADCY9/AKR1C3/SCARB1/ADCY7/CYP1B1/PLA2G4C/ADCY4/ADCY2/IGF1/ALOX5
C1,Up,KEGG,hsa00230,Purine metabolism,22/738,124/8021,0.0019204370722242946,0.014801417434704318,0.010945751733858625,22,GUCY1B1/ADCY3/PAPSS2/GUCY1A1/ADCY9/NPR2/ADCY7/PDE5A/PDE1A/IMPDH2/ENPP4/ADCY4/PDE3A/ADA/GMPR/NT5E/ADCY2/PDE2A/ENPP1/ADA2/PDE4B/PDE1C
C1,Up,KEGG,hsa04360,Axon guidance,29/738,181/8021,0.002102896400890096,0.015721732813459587,0.01162633139436385,29,CXCL12/DPYSL2/FYN/SLIT3/CAMK2D/MYL9/PIK3R3/RAC2/PLXNC1/CFL2/ABL1/L1CAM/NRP1/PIK3R1/NTN4/ENAH/EPHA3/PAK3/SEMA6A/RRAS/SEMA3A/SEMA3G/TRPC1/PLXNA1/CXCR4/EFNB2/NFATC4/PRKCA/WNT5A
C1,Up,KEGG,hsa05142,Chagas disease,19/738,102/8021,0.002145418788862934,0.015721732813459587,0.01162633139436385,19,TGFBR2/C3/TLR4/AKT3/PIK3R3/PIK3R1/TGFB3/IL6/C1QB/C1QC/C1QA/CCL5/CCL2/CXCL8/TGFBR1/SERPINE1/CCL3/CCL3L1/CCL3L3
C1,Up,KEGG,hsa04550,Signaling pathways regulating pluripotency of stem cells,24/738,141/8021,0.0021891020373171577,0.015721732813459587,0.01162633139436385,24,LIFR/WNT2B/AKT3/BMP4/PIK3R3/FZD7/FZD4/AXIN2/ID3/PIK3R1/TBX3/ID4/SMAD9/FGFR1/ID2/FGF2/SOX2/FZD1/IL6ST/INHBA/INHBB/HOXD1/IGF1/WNT5A
C1,Up,KEGG,hsa04630,JAK-STAT signaling pathway,27/738,166/8021,0.002368204979530067,0.01663006163403336,0.012298046911243856,27,PDGFRA/CCND2/LIFR/PDGFRB/AOX1/STAT2/AKT3/SOCS2/OSMR/PIK3R3/FHL1/IL7/LEPR/BCL2/PIK3R1/CSF2RB/IL7R/IL15/IL4R/IL13RA2/IL6/IL11RA/IL27RA/IL10RA/IL6ST/TSLP/IL13RA1
C1,Up,KEGG,hsa04213,Longevity regulating pathway - multiple species,13/738,61/8021,0.0031244855119769194,0.02146385699531971,0.015872672394939957,13,PRKACB/ADCY3/AKT3/PIK3R3/ADCY9/ADCY7/IRS1/PIK3R1/ADCY4/FOXO3/SOD2/ADCY2/IGF1
C1,Up,KEGG,hsa04371,Apelin signaling pathway,23/738,137/8021,0.0032113294739381103,0.021591066250307295,0.015966744528874813,23,GNB4/PRKACB/ADCY3/SLC8A1/MEF2C/AKT3/ACTA2/GNG11/ADCY9/MYLK/ADCY7/AGTR1/GNG2/ADCY4/CCN2/MAP1LC3C/RRAS/PPARGC1A/KLF2/MRAS/ADCY2/TGFBR1/SERPINE1
C1,Up,KEGG,hsa05171,Coronavirus disease,34/738,230/8021,0.003601810299680037,0.023711917806226907,0.017535129090547545,34,C1S/C1R/C3/TLR4/STAT2/PIK3R3/STING1/MMP1/AGTR1/MASP1/C7/MX2/NRP1/RPL22/PIK3R1/MX1/C3AR1/IL6/C1QB/C1QC/C1QA/IL6ST/MMP3/CFD/TLR8/CFB/CYBB/VWF/RPS27/CCL2/CXCL8/PRKCA/F13A1/FCGR2A
C1,Up,KEGG,hsa00350,Tyrosine metabolism,9/738,36/8021,0.004358440892612657,0.02810749636868571,0.020785690186036734,9,AOX1/ADH1B/ADH5/TYR/TYRP1/AOC3/DCT/MAOB/ADH1C
