contrast,label,tf,NES,pvalue,regulon_size,padj,activity,interpretation
C1,Limbus vs cornea,DMRTA2,-4.273355478682555,1.9255310592868307e-5,28,4.872430767412763e-5,Repressed in limbus,NES = regulon activity; not transcript abundance
C1,Limbus vs cornea,ZNF667,-4.248756051425492,2.1496084953562108e-5,49,5.3581893410343096e-5,Repressed in limbus,NES = regulon activity; not transcript abundance
C1,Limbus vs cornea,ZNF430,-4.248265120963385,2.1543235494880212e-5,68,5.3581893410343096e-5,Repressed in limbus,NES = regulon activity; not transcript abundance
C1,Limbus vs cornea,YBX2,-4.223697835991156,2.4032621531026874e-5,27,5.895546268314823e-5,Repressed in limbus,NES = regulon activity; not transcript abundance
C1,Limbus vs cornea,ZNF18,-4.222983618548992,2.4108934911665425e-5,28,5.895546268314823e-5,Repressed in limbus,NES = regulon activity; not transcript abundance
C1,Limbus vs cornea,BAZ2A,-4.2131656750637605,2.5181621341808755e-5,18,6.106543175388622e-5,Repressed in limbus,NES = regulon activity; not transcript abundance
C1,Limbus vs cornea,ELK3,4.198277741928571,2.68952643614136e-5,38,6.468199941463933e-5,Activated in limbus,NES = regulon activity; not transcript abundance
C1,Limbus vs cornea,L3MBTL3,-4.182339834649763,2.885242678738449e-5,15,6.882013274695809e-5,Repressed in limbus,NES = regulon activity; not transcript abundance
C1,Limbus vs cornea,RORA,-4.180441758992701,2.909433242980247e-5,192,6.883293282172779e-5,Repressed in limbus,NES = regulon activity; not transcript abundance
C1,Limbus vs cornea,CREB5,4.173106570765024,3.004743062297721e-5,316,7.051453476843844e-5,Activated in limbus,NES = regulon activity; not transcript abundance
C1,Limbus vs cornea,SOX10,4.169479755523827,3.0529573158054145e-5,149,7.107284631195004e-5,Activated in limbus,NES = regulon activity; not transcript abundance
C1,Limbus vs cornea,SKI,4.165753501734224,3.103258709473573e-5,138,7.167049876641348e-5,Activated in limbus,NES = regulon activity; not transcript abundance
C1,Limbus vs cornea,ZNF431,-4.1551230582390675,3.251125155721928e-5,22,7.44942850641796e-5,Repressed in limbus,NES = regulon activity; not transcript abundance
C1,Limbus vs cornea,BHLHE22,4.12151955525224,3.763815149820078e-5,68,8.556798504669084e-5,Activated in limbus,NES = regulon activity; not transcript abundance
C1,Limbus vs cornea,AR,4.099192515287099,4.14594075459957e-5,50,9.35247100456182e-5,Activated in limbus,NES = regulon activity; not transcript abundance
C1,Limbus vs cornea,FOXO3,4.037337897510707,5.406117554530871e-5,35,1.2101386218219103e-4,Activated in limbus,NES = regulon activity; not transcript abundance
C1,Limbus vs cornea,TOPORS,-4.029840522521905,5.581470693188633e-5,189,1.2398534135251086e-4,Repressed in limbus,NES = regulon activity; not transcript abundance
C1,Limbus vs cornea,SOX18,4.019780906279451,5.825228849667722e-5,12,1.2841981782222024e-4,Activated in limbus,NES = regulon activity; not transcript abundance
