contrast,label,tf,NES,pvalue,regulon_size,padj,activity,interpretation
C3,Limbus vs cultured limbal epithelial cells,ZNF30,-3.704808274807404,2.1155068403862334e-4,29,8.100164349373604e-4,Repressed in limbus,NES = regulon activity; not transcript abundance
C3,Limbus vs cultured limbal epithelial cells,ZBTB9,-3.6976252142279913,2.1762587904713897e-4,91,8.224562441911356e-4,Repressed in limbus,NES = regulon activity; not transcript abundance
C3,Limbus vs cultured limbal epithelial cells,ZNF521,3.6807486844932362,2.325501271329511e-4,302,8.675908589190868e-4,Activated in limbus,NES = regulon activity; not transcript abundance
C3,Limbus vs cultured limbal epithelial cells,SP140L,-3.6685533550775387,2.4392679284164842e-4,76,8.985151483154392e-4,Repressed in limbus,NES = regulon activity; not transcript abundance
C3,Limbus vs cultured limbal epithelial cells,FOXL2,3.6478585742837684,2.6443511918195964e-4,106,9.618827460243783e-4,Activated in limbus,NES = regulon activity; not transcript abundance
C3,Limbus vs cultured limbal epithelial cells,PAX3,3.64198132596797,2.705477029894843e-4,306,9.71967673702962e-4,Activated in limbus,NES = regulon activity; not transcript abundance
C3,Limbus vs cultured limbal epithelial cells,RXRA,-3.6179966166819257,2.9689227664041125e-4,24,0.0010536055183214595,Repressed in limbus,NES = regulon activity; not transcript abundance
C3,Limbus vs cultured limbal epithelial cells,FOXN3,3.6118415614282355,3.040303057400538e-4,238,0.0010659375779560924,Activated in limbus,NES = regulon activity; not transcript abundance
C3,Limbus vs cultured limbal epithelial cells,CUX1,-3.592684327348952,3.272889834269994e-4,185,0.001133822549729248,Repressed in limbus,NES = regulon activity; not transcript abundance
C3,Limbus vs cultured limbal epithelial cells,NR2F1,3.588196609797751,3.329731627455946e-4,333,0.001139943415987859,Activated in limbus,NES = regulon activity; not transcript abundance
C3,Limbus vs cultured limbal epithelial cells,CEBPG,-3.584735002214216,3.374206285909747e-4,225,0.0011417372432555074,Repressed in limbus,NES = regulon activity; not transcript abundance
C3,Limbus vs cultured limbal epithelial cells,FOXM1,-3.572480967554154,3.536151901930072e-4,60,0.001182781843059369,Repressed in limbus,NES = regulon activity; not transcript abundance
C3,Limbus vs cultured limbal epithelial cells,FOXC2,3.5666532310817525,3.615694258488534e-4,43,0.0011956443513865492,Activated in limbus,NES = regulon activity; not transcript abundance
C3,Limbus vs cultured limbal epithelial cells,MEF2D,3.5624795622485914,3.673685163190191e-4,15,0.00120117121627904,Activated in limbus,NES = regulon activity; not transcript abundance
C3,Limbus vs cultured limbal epithelial cells,PKNOX2,3.548226158800083,3.8783505300268357e-4,28,0.001254000004708677,Activated in limbus,NES = regulon activity; not transcript abundance
C3,Limbus vs cultured limbal epithelial cells,BCL11B,3.541465596453426,3.979107458865956e-4,17,0.0012724398577252673,Activated in limbus,NES = regulon activity; not transcript abundance
C3,Limbus vs cultured limbal epithelial cells,ZNF536,3.534952547948646,4.078483921025142e-4,197,0.001287137718698516,Activated in limbus,NES = regulon activity; not transcript abundance
C3,Limbus vs cultured limbal epithelial cells,SOX9,3.53269078800739,4.113532915428247e-4,107,0.001287137718698516,Activated in limbus,NES = regulon activity; not transcript abundance
C3,Limbus vs cultured limbal epithelial cells,ZNF532,3.528398247567786,4.180826456510637e-4,384,0.0012942771264304205,Activated in limbus,NES = regulon activity; not transcript abundance
C3,Limbus vs cultured limbal epithelial cells,PITX2,3.5203765369836826,4.309345627643056e-4,12,0.001320020608046452,Activated in limbus,NES = regulon activity; not transcript abundance
C3,Limbus vs cultured limbal epithelial cells,OSR1,3.5135258164547434,4.4220143998719997e-4,12,0.0013404231149612,Activated in limbus,NES = regulon activity; not transcript abundance
C3,Limbus vs cultured limbal epithelial cells,ZNF503,3.4965434005024463,4.7132781678356717e-4,310,0.0014139834503507016,Activated in limbus,NES = regulon activity; not transcript abundance
C3,Limbus vs cultured limbal epithelial cells,TFCP2L1,3.4936448098077957,4.764744929525975e-4,176,0.0014148375249918965,Activated in limbus,NES = regulon activity; not transcript abundance
C3,Limbus vs cultured limbal epithelial cells,FOXP2,3.4872278089166664,4.88055438895364e-4,116,0.001434587199177282,Activated in limbus,NES = regulon activity; not transcript abundance
C3,Limbus vs cultured limbal epithelial cells,NFATC1,3.4743536753389943,5.120855757458551e-4,123,0.0014901690254204383,Activated in limbus,NES = regulon activity; not transcript abundance
C3,Limbus vs cultured limbal epithelial cells,MSANTD3,-3.4642023129383115,5.31806383981185e-4,269,0.0015322342350348993,Repressed in limbus,NES = regulon activity; not transcript abundance
C3,Limbus vs cultured limbal epithelial cells,BHLHE22,3.446733003578108,5.674090404535631e-4,68,0.0016070684116223496,Activated in limbus,NES = regulon activity; not transcript abundance
C3,Limbus vs cultured limbal epithelial cells,TSHZ2,3.4460595945733283,5.688249017082543e-4,322,0.0016070684116223496,Activated in limbus,NES = regulon activity; not transcript abundance
C3,Limbus vs cultured limbal epithelial cells,ZNF777,-3.4426771316923586,5.759865237813756e-4,30,0.0016116546001959642,Repressed in limbus,NES = regulon activity; not transcript abundance
C3,Limbus vs cultured limbal epithelial cells,RUNX3,3.4247449261650704,6.153768818439179e-4,110,0.0017054730725388583,Activated in limbus,NES = regulon activity; not transcript abundance
C3,Limbus vs cultured limbal epithelial cells,MBD1,-3.4188659495355482,6.288269722119144e-4,98,0.001726308008619501,Repressed in limbus,NES = regulon activity; not transcript abundance
C3,Limbus vs cultured limbal epithelial cells,ZNF229,-3.4121962445200262,6.44417023795241e-4,371,0.0017525734011627585,Repressed in limbus,NES = regulon activity; not transcript abundance
C3,Limbus vs cultured limbal epithelial cells,GRHL3,-3.390043736227245,6.988147375723388e-4,18,0.0018829174873476906,Repressed in limbus,NES = regulon activity; not transcript abundance
C3,Limbus vs cultured limbal epithelial cells,PHF1,3.381467660557402,7.2099719109547e-4,68,0.0019248640606310255,Activated in limbus,NES = regulon activity; not transcript abundance
C3,Limbus vs cultured limbal epithelial cells,ZFP2,-3.359014304795044,7.822101825569472e-4,22,0.002069301482946106,Repressed in limbus,NES = regulon activity; not transcript abundance
C3,Limbus vs cultured limbal epithelial cells,SOX5,3.336903970473934,8.471721370203762e-4,100,0.002220964791648013,Activated in limbus,NES = regulon activity; not transcript abundance
C3,Limbus vs cultured limbal epithelial cells,ZNF99,3.32472025875121,8.85072915155175e-4,97,0.0022996090920549637,Activated in limbus,NES = regulon activity; not transcript abundance
C3,Limbus vs cultured limbal epithelial cells,ZFP64,-3.3188086176034477,9.040236465891994e-4,157,0.0023280608951987344,Repressed in limbus,NES = regulon activity; not transcript abundance
C3,Limbus vs cultured limbal epithelial cells,XPA,3.3038102938002036,9.538035130839961e-4,157,0.002434708967609148,Activated in limbus,NES = regulon activity; not transcript abundance
C3,Limbus vs cultured limbal epithelial cells,ZXDC,-3.2919872782861352,9.948211172568148e-4,108,0.002517329957580288,Repressed in limbus,NES = regulon activity; not transcript abundance
C3,Limbus vs cultured limbal epithelial cells,ZNF326,3.282780235162724,0.001027887638595957,203,0.0025785801968226164,Activated in limbus,NES = regulon activity; not transcript abundance
C3,Limbus vs cultured limbal epithelial cells,HSF2,3.2692055690232995,0.001078499156252578,128,0.002682420978371797,Activated in limbus,NES = regulon activity; not transcript abundance
C3,Limbus vs cultured limbal epithelial cells,ZNF280B,3.2295436485869113,0.001239879533347633,95,0.0030576690186793322,Activated in limbus,NES = regulon activity; not transcript abundance
C3,Limbus vs cultured limbal epithelial cells,SMAD5,3.2058242697559396,0.0013467620793645779,412,0.003293342563824304,Activated in limbus,NES = regulon activity; not transcript abundance
C3,Limbus vs cultured limbal epithelial cells,HEY2,3.1920405514814423,0.0014127149755803156,252,0.003425833815782265,Activated in limbus,NES = regulon activity; not transcript abundance
C3,Limbus vs cultured limbal epithelial cells,NR4A2,3.174187537433961,0.0015025657326551568,10,0.0036136084975425674,Activated in limbus,NES = regulon activity; not transcript abundance
