contrast,label,tf,NES,pvalue,regulon_size,padj,activity,interpretation
C2,Limbus vs conjunctiva,TFE3,1.5204776270573375,0.1283909775452389,105,0.30481299080811597,Activated in limbus,NES = regulon activity; not transcript abundance
C2,Limbus vs conjunctiva,CREB5,-1.5182945945417698,0.1289401497606992,316,0.30481299080811597,Repressed in limbus,NES = regulon activity; not transcript abundance
C2,Limbus vs conjunctiva,THRB,1.5085358598757492,0.1314174359684215,267,0.30481299080811597,Activated in limbus,NES = regulon activity; not transcript abundance
C2,Limbus vs conjunctiva,TERF2,-1.502672883706794,0.13292341853443618,16,0.30481299080811597,Repressed in limbus,NES = regulon activity; not transcript abundance
C2,Limbus vs conjunctiva,ZNF658,-1.501525328647476,0.13321974055688687,68,0.30481299080811597,Repressed in limbus,NES = regulon activity; not transcript abundance
C2,Limbus vs conjunctiva,FOXC2,-1.4989247434121578,0.13389315651859707,43,0.30481299080811597,Repressed in limbus,NES = regulon activity; not transcript abundance
C2,Limbus vs conjunctiva,LHX1,-1.4987793544048953,0.13393088226821384,32,0.30481299080811597,Repressed in limbus,NES = regulon activity; not transcript abundance
C2,Limbus vs conjunctiva,CEBPA,-1.4976850592734827,0.1342150954384502,19,0.30481299080811597,Repressed in limbus,NES = regulon activity; not transcript abundance
C2,Limbus vs conjunctiva,EBF1,-1.4929130563847317,0.13545994699790248,588,0.30481299080811597,Repressed in limbus,NES = regulon activity; not transcript abundance
C2,Limbus vs conjunctiva,IRX3,1.4911926862663272,0.13591091331191038,517,0.30481299080811597,Activated in limbus,NES = regulon activity; not transcript abundance
C2,Limbus vs conjunctiva,YBX2,-1.4862586963045261,0.13721070728902676,27,0.30481299080811597,Repressed in limbus,NES = regulon activity; not transcript abundance
C2,Limbus vs conjunctiva,SMAD5,-1.483451430612471,0.1379545116082896,412,0.30481299080811597,Repressed in limbus,NES = regulon activity; not transcript abundance
C2,Limbus vs conjunctiva,CUX1,-1.4822804553233717,0.1382656865521351,185,0.30481299080811597,Repressed in limbus,NES = regulon activity; not transcript abundance
C2,Limbus vs conjunctiva,EGR4,1.4545197220076374,0.1458022696768313,48,0.317193840008323,Activated in limbus,NES = regulon activity; not transcript abundance
C2,Limbus vs conjunctiva,ZBTB14,-1.4535836656506047,0.14606176825125528,44,0.317193840008323,Repressed in limbus,NES = regulon activity; not transcript abundance
C2,Limbus vs conjunctiva,ZNF99,-1.4428775665604825,0.14905496366495072,97,0.3203326572925092,Repressed in limbus,NES = regulon activity; not transcript abundance
C2,Limbus vs conjunctiva,ESRRG,-1.4374873446155374,0.15057956621968208,162,0.3203326572925092,Repressed in limbus,NES = regulon activity; not transcript abundance
C2,Limbus vs conjunctiva,FOXD1,1.4328544195837118,0.15189944551521206,75,0.3203326572925092,Activated in limbus,NES = regulon activity; not transcript abundance
C2,Limbus vs conjunctiva,ZNF423,1.4328163333902544,0.15191033232428272,35,0.3203326572925092,Activated in limbus,NES = regulon activity; not transcript abundance
C2,Limbus vs conjunctiva,GLYR1,1.4247572079584536,0.1542273959166711,268,0.3228789367751891,Activated in limbus,NES = regulon activity; not transcript abundance
C2,Limbus vs conjunctiva,NR4A3,1.417033822478267,0.15647303903897083,40,0.32501756407745874,Activated in limbus,NES = regulon activity; not transcript abundance
C2,Limbus vs conjunctiva,SOX11,1.4103887198897889,0.15842493431305998,26,0.32501756407745874,Activated in limbus,NES = regulon activity; not transcript abundance
C2,Limbus vs conjunctiva,ZXDB,-1.406088585305361,0.15969782147275963,10,0.32501756407745874,Repressed in limbus,NES = regulon activity; not transcript abundance
C2,Limbus vs conjunctiva,NR1D1,1.4060255602584903,0.15971653492466184,177,0.32501756407745874,Activated in limbus,NES = regulon activity; not transcript abundance
C2,Limbus vs conjunctiva,ZNF44,-1.3816409138339525,0.1670819849167247,11,0.33764484451921456,Repressed in limbus,NES = regulon activity; not transcript abundance
C2,Limbus vs conjunctiva,ELF2,-1.3683393274918596,0.17120588607693185,61,0.3435925024026701,Repressed in limbus,NES = regulon activity; not transcript abundance
C2,Limbus vs conjunctiva,ZNF488,1.3519701832639208,0.1763848538826082,105,0.3492900145170396,Activated in limbus,NES = regulon activity; not transcript abundance
C2,Limbus vs conjunctiva,ZNF229,1.3517807273351137,0.17644547125087567,371,0.3492900145170396,Activated in limbus,NES = regulon activity; not transcript abundance
C2,Limbus vs conjunctiva,ZNF814,1.3425408253298425,0.1794207024425176,38,0.3527798946673826,Activated in limbus,NES = regulon activity; not transcript abundance
C2,Limbus vs conjunctiva,ZBTB7C,1.3012017663105773,0.19318940084862443,268,0.37517740521945697,Activated in limbus,NES = regulon activity; not transcript abundance
C2,Limbus vs conjunctiva,KLF9,1.3006145765762576,0.19339041506157575,14,0.37517740521945697,Activated in limbus,NES = regulon activity; not transcript abundance
C2,Limbus vs conjunctiva,HIVEP3,-1.278243868911803,0.20116345254999393,133,0.3876726138546241,Repressed in limbus,NES = regulon activity; not transcript abundance
C2,Limbus vs conjunctiva,KLF2,1.267208210016082,0.20508085092797537,145,0.3914238456974901,Activated in limbus,NES = regulon activity; not transcript abundance
C2,Limbus vs conjunctiva,ZNF536,1.2651985383782842,0.20580016629455666,197,0.3914238456974901,Activated in limbus,NES = regulon activity; not transcript abundance
C2,Limbus vs conjunctiva,PPARG,1.2525014725003847,0.21038719209536538,25,0.39690453163174566,Activated in limbus,NES = regulon activity; not transcript abundance
C2,Limbus vs conjunctiva,ZFP42,-1.2496987058817646,0.21140963025058618,25,0.39690453163174566,Repressed in limbus,NES = regulon activity; not transcript abundance
C2,Limbus vs conjunctiva,BCL11B,1.2376816178749745,0.2158341377172612,17,0.4000546846212935,Activated in limbus,NES = regulon activity; not transcript abundance
