Symbol,logFC,AveExpr,t,P.Value,adj.P.Val,B,status,contrast
XM_006724324,1.2412210580267962,6.642584539371805,3.8137065558653815,0.0016377357049950987,0.02121171776242791,-1.281092129771336,Up,C3
NINJ2,1.3925901432957755,6.3217268454516935,3.810818879613902,0.0016475332306579596,0.021290793407739917,-1.286894907501332,Up,C3
XM_006718984,1.3925901432957755,6.3217268454516935,3.810818879613902,0.0016475332306579596,0.021290793407739917,-1.286894907501332,Up,C3
JUN,2.6292041630160607,10.308567748129356,3.8106450453054808,0.0016481249125731507,0.021290793407739917,-1.287244228247645,Up,C3
PCDHB7,1.1096934600432355,4.553632051927859,3.8101901856807827,0.0016496741384017517,0.021299343017707823,-1.288158271106835,Up,C3
LUM,2.4601214912178593,5.6715672165006215,3.8080555986408755,0.0016569640697283727,0.021370473724675123,-1.2924477465011135,Up,C3
FGF18,1.2758274379010688,5.77676283185867,3.8058711329799264,0.0016644579961965476,0.021428467426164683,-1.2968374716523554,Up,C3
JUND,1.2112786254827217,5.509151379497155,3.8050975439847914,0.001667120025509104,0.021428467426164683,-1.2983920175144368,Up,C3
FGFBP2,2.2696785984555508,5.555182605533408,3.80440824223078,0.0016694956289862492,0.021428467426164683,-1.2997771878420474,Up,C3
RGS16,1.900368995886046,7.1906579303305165,3.7981243257399275,0.0016913105523955233,0.0216621322724639,-1.31240495275771,Up,C3
ACTG2,1.5619841799489338,5.413518349081227,3.7971769266414066,0.0016946243471598129,0.02169299924294924,-1.3143087956969701,Up,C3
XM_006725699,2.0072511145999323,8.56270120830166,3.7943456226228447,0.0017045667106161525,0.021727567811050924,-1.3199984454597384,Up,C3
XM_006725907,2.0072511145999323,8.56270120830166,3.7943456226228447,0.0017045667106161525,0.021727567811050924,-1.3199984454597384,Up,C3
XM_006725908,2.0072511145999323,8.56270120830166,3.7943456226228447,0.0017045667106161525,0.021727567811050924,-1.3199984454597384,Up,C3
MEG3,1.5279983177833723,5.163056072083744,3.7854719266578876,0.0017361102024808762,0.02195475083242676,-1.3378306689573032,Up,C3
CCN3,1.1535124659635283,6.131841039668334,3.779607506680743,0.0017572789661858613,0.022093150306453684,-1.3496156002196171,Up,C3
FKBP11,1.1314828497087364,7.201432367500666,3.7759617389028683,0.0017705700593457822,0.02219188166534312,-1.3569420017573588,Up,C3
NR4A1,2.0223874894297866,8.485696621728447,3.7749940158917568,0.001774115001265035,0.022201412023130015,-1.3588867007479664,Up,C3
XM_006719364,2.0223874894297866,8.485696621728447,3.7749940158917568,0.001774115001265035,0.022201412023130015,-1.3588867007479664,Up,C3
